MARRIED,GDLIN,OBRAT,BLACK,HISPAN,MALE,APPROVE,LOANPRC
0,1,34.5,0,0,.,1,0.7542373
1,1,34.1,0,0,1,0,0.8
0,1,26,0,0,1,1,0.8951049
1,1,37,0,0,1,1,0.6
1,1,32.1,0,0,1,1,0.8955224
0,1,33,0,0,1,1,0.8043478
0,1,36,0,0,1,1,0.8980892
0,1,37,0,0,1,1,0.7976879
1,1,30.7,0,0,1,1,1.003009
1,1,49,0,0,1,1,0.6327014
1,1,37,0,0,1,1,0.5047591
1,1,37.1,0,0,1,1,0.7037037
1,0,42,0,0,1,0,0.752381
1,1,32,0,0,1,1,0.7692308
1,1,16,0,0,1,1,0.2030457
1,1,37.1,1,0,1,1,0.8974359
1,1,32.2,0,0,1,1,0.8
1,1,26,0,0,1,1,0.6705883
1,1,27,0,0,1,1,0.9018088
1,1,37.2,0,0,1,1,0.9438776
1,1,36,0,0,1,1,0.9
1,1,16,0,0,0,1,0.4807692
1,1,36,0,0,1,1,1
1,1,29.2,0,0,1,1,0.6944444
0,1,18,0,0,1,1,0.5652174
1,1,27.9,0,0,1,1,0.9478261
1,1,34,1,0,1,1,0.8
0,1,38.4,0,0,1,0,0.95
1,1,14,0,0,1,1,0.2982456
1,1,34.8,0,1,1,1,0.8
0,1,28.7,0,0,1,1,0.5555556
1,1,40.4,0,0,1,1,0.7991453
0,1,73,0,0,1,1,1
1,1,27.9,0,0,1,1,0.8
0,0,38.2,1,0,0,0,0.95
0,1,27,1,0,0,1,0.7515528
1,1,35,0,0,1,0,1.127119
0,1,33,0,0,0,1,0.7
0,1,35,0,0,1,1,0.9090909
1,1,32.1,0,0,1,1,0.8984375
1,1,35,0,0,1,1,0.8
1,0,16,0,0,1,0,0.8
1,1,30,0,0,1,1,0.3703704
1,1,27.5,0,0,0,1,0.8
1,1,32.4,0,0,1,1,0.8873239
1,0,34,1,0,1,0,0.8
1,1,26.7,0,0,1,1,0.8
0,1,31,0,0,1,1,0.8
1,0,30,0,1,1,0,0.9491525
0,1,38.2,1,0,1,1,0.6782609
1,1,35,1,0,1,1,0.9556962
1,1,34,0,0,1,1,0.7666667
1,1,38,0,0,1,1,1.085714
0,1,38,0,1,0,1,0.8939394
1,0,34,0,0,1,0,0.8909091
0,1,25,0,1,1,1,0.7920792
1,1,34,0,0,1,1,0.9027778
1,1,24,0,0,1,1,0.8
1,1,35.5,0,0,1,1,0.5072464
1,1,24,0,0,1,1,0.5666667
1,1,23.5,0,0,1,1,0.678337
1,1,23,0,0,0,1,0.8891752
0,1,28,0,0,1,1,0.6206896
0,1,29,0,0,1,1,0.6969697
