GDLIN,OBRAT,BLACK,HISPAN,LOANPRC,fit,se.fit
0,0,1,0,77.06418322515214,0.3584733101573965,0.08963117292476616
0,1,1,0,77.06418322515214,0.35214139699054803,0.08749405857756476
0,2,1,0,77.06418322515214,0.3458502136619757,0.08537241069460207
0,3,1,0,77.06418322515214,0.33960130496212615,0.08326843170245585
0,4,1,0,77.06418322515214,0.3333961809439272,0.08118431099344595
0,5,1,0,77.06418322515214,0.32723631585625856,0.07912222281557296
0,6,1,0,77.06418322515214,0.32112314712614476,0.07708432405047477
0,7,1,0,77.06418322515214,0.3150580743907846,0.07507275183891815
0,8,1,0,77.06418322515214,0.3090424585804436,0.07308962100636415
0,9,1,0,77.06418322515214,0.30307762105313396,0.07113702123365089
0,10,1,0,77.06418322515214,0.29716484278191374,0.06921701390996801
0,11,1,0,77.06418322515214,0.29130536359553905,0.06733162859727099
0,12,1,0,77.06418322515214,0.2855003814731022,0.06548285902742824
0,13,1,0,77.06418322515214,0.2797510518931929,0.06367265854615975
0,14,1,0,77.06418322515214,0.2740584872380191,0.061902934911819314
0,15,1,0,77.06418322515214,0.26842375625282655,0.0601755443530746
0,16,1,0,77.06418322515214,0.26284788356085387,0.05849228478851995
0,17,1,0,77.06418322515214,0.2573318492339674,0.05685488811438799
0,18,1,0,77.06418322515214,0.25187658841901756,0.05526501147515105
0,19,1,0,77.06418322515214,0.24648299101986462,0.053724227447404245
0,20,1,0,77.06418322515214,0.24115190143492554,0.05223401309153061
0,21,1,0,77.06418322515214,0.23588411834999828,0.05079573785970449
0,22,1,0,77.06418322515214,0.23068039458603154,0.04941065039396381
0,23,1,0,77.06418322515214,0.22554143700141013,0.048079864305011516
0,24,1,0,77.06418322515214,0.2204679064482446,0.04680434309090898
0,25,1,0,77.06418322515214,0.21546041778206199,0.04558488443356987
0,26,1,0,77.06418322515214,0.210519539924211,0.04442210419716938
0,27,1,0,77.06418322515214,0.2056457959762156,0.043316420541794555
0,28,1,0,77.06418322515214,0.20083966338522696,0.04226803865167632
0,29,1,0,77.06418322515214,0.1961015741596507,0.041276936652384244
0,30,1,0,77.06418322515214,0.19143191513395116,0.04034285334655678
0,31,1,0,77.06418322515214,0.18683102828156253,0.03946527842392218
0,32,1,0,77.06418322515214,0.1822992110747712,0.03864344579021541
0,33,1,0,77.06418322515214,0.17783671689036806,0.037876330604946884
0,34,1,0,77.06418322515214,0.17344375545980695,0.037162650517136624
0,35,1,0,77.06418322515214,0.16912049336255103,0.03650087144294085
0,36,1,0,77.06418322515214,0.16486705456123252,0.035889218046500256
0,37,1,0,77.06418322515214,0.16068352097719968,0.03532568887716139
0,38,1,0,77.06418322515214,0.15656993310498232,0.03480807589818274
0,39,1,0,77.06418322515214,0.15252629066415796,0.03433398793199346
0,40,1,0,77.06418322515214,0.1485525532870675,0.033900877362793506
0,41,1,0,77.06418322515214,0.14464864124078824,0.03350606929413268
0,42,1,0,77.06418322515214,0.14081443618174377,0.03314679226805458
0,43,1,0,77.06418322515214,0.13704978194130144,0.03282020961874915
0,44,1,0,77.06418322515214,0.1333544853406818,0.03252345055668509
0,45,1,0,77.06418322515214,0.12972831703348714,0.03225364015266825
0,46,1,0,77.06418322515214,0.12617101237413736,0.0320079275047587
0,47,1,0,77.06418322515214,0.12268227231048799,0.03178351151156603
0,48,1,0,77.06418322515214,0.11926176429889922,0.03157766382955244
0,49,1,0,77.06418322515214,0.11590912324001373,0.0313877487469612
0,50,1,0,77.06418322515214,0.11262395243350544,0.03121123985233228
0,51,1,0,77.06418322515214,0.10940582455005607,0.031045733503520863
0,52,1,0,77.06418322515214,0.10625428261882815,0.030888959208929454
0,53,1,0,77.06418322515214,0.10316884102870487,0.030738787114272262
0,54,1,0,77.06418322515214,0.10014898654158454,0.030593232845875465
0,55,1,0,77.06418322515214,0.09719417931602782,0.030450459997211504
0,56,1,0,77.06418322515214,0.09430385393957631,0.030308780562083595
0,57,1,0,77.06418322515214,0.0914774204680811,0.03016665361914642
0,58,1,0,77.06418322515214,0.08871426547040347,0.03002268256189706
0,59,1,0,77.06418322515214,0.08601375307687739,0.02987561114929773
0,60,1,0,77.06418322515214,0.08337522602995091,0.02972431862778877
0,61,1,0,77.06418322515214,0.08079800673545726,0.029567814148098313
0,62,1,0,77.06418322515214,0.07828139831299864,0.02940523067190625
0,63,1,0,77.06418322515214,0.07582468564396397,0.02923581853552968
0,64,1,0,77.06418322515214,0.07342713641573768,0.029058938811376982
0,65,1,0,77.06418322515214,0.0710880021607003,0.02887405658361984
0,66,1,0,77.06418322515214,0.06880651928866041,0.028680734232710923
0,67,1,0,77.06418322515214,0.06658191011140514,0.028478624804171227
0,68,1,0,77.06418322515214,0.06441338385809775,0.02826746552046086
0,69,1,0,77.06418322515214,0.06230013768030246,0.028047071480607873
0,70,1,0,77.06418322515214,0.06024135764546001,0.027817329580402003
0,71,1,0,77.06418322515214,0.05823621971769189,0.02757819267614052
0,72,1,0,77.06418322515214,0.05628389072485632,0.02732967400689272
0,73,1,0,77.06418322515214,0.05438352931083518,0.02707184188379324
0,74,1,0,77.06418322515214,0.05253428687207912,0.026804814649749188
0,75,1,0,77.06418322515214,0.050735308477492726,0.026528755908946853
0,76,1,0,77.06418322515214,0.04898573377079471,0.02624387002247954
0,77,1,0,77.06418322515214,0.04728469785453927,0.025950397864125528
0,78,1,0,77.06418322515214,0.04563133215504116,0.025648612828640914
0,79,1,0,77.06418322515214,0.044024765267497504,0.025338817083773675
0,80,1,0,77.06418322515214,0.04246412378065576,0.02502133805645032
0,81,1,0,77.06418322515214,0.04094853308042761,0.024696525143148098
0,82,1,0,77.06418322515214,0.03947711813190408,0.024364746634274383
0,83,1,0,77.06418322515214,0.03804900423927736,0.024026386842369348
0,84,1,0,77.06418322515214,0.036663317783229364,0.023681843424085487
0,85,1,0,77.06418322515214,0.035319186935395326,0.023331524886134013
0,86,1,0,77.06418322515214,0.03401574234956468,0.022975848265700018
0,87,1,0,77.06418322515214,0.032752117829328395,0.02261523697618471
0,88,1,0,77.06418322515214,0.031527450971933026,0.022250118809521546
0,89,1,0,77.06418322515214,0.030340883788148195,0.02188092408671413
0,90,1,0,77.06418322515214,0.029191563298001634,0.02150808394865019
0,91,1,0,77.06418322515214,0.02807864210228216,0.021132028779647684
0,92,1,0,77.06418322515214,0.02700127892975395,0.020753186756579882
0,93,1,0,77.06418322515214,0.02595863916007054,0.02037198251680465
0,94,1,0,77.06418322515214,0.024949895322417075,0.01998883593848214
0,95,1,0,77.06418322515214,0.023974227569951354,0.01960416102720801
1,0,1,0,77.06418322515214,0.9618432640751876,0.018168544492357927
1,1,1,0,77.06418322515214,0.9604118688114496,0.018342118293719276
1,2,1,0,77.06418322515214,0.9589371056121464,0.018507745992018727
1,3,1,0,77.06418322515214,0.9574180997291979,0.018665322358326863
1,4,1,0,77.06418322515214,0.955853976132761,0.0188147931725005
1,5,1,0,77.06418322515214,0.9542438602728579,0.018956161586754894
1,6,1,0,77.06418322515214,0.9525868788630614,0.019089494997219174
1,7,1,0,77.06418322515214,0.9508821606857394,0.019214932441368883
1,8,1,0,77.06418322515214,0.949128837418309,0.01933269253219781
1,9,1,0,77.06418322515214,0.9473260444798972,0.019443081929983803
1,10,1,0,77.06418322515214,0.9454729218977519,0.019546504338762618
1,11,1,0,77.06418322515214,0.943568615192694,0.019643469996295262
1,12,1,0,77.06418322515214,0.9416122762828469,0.019734605602447237
1,13,1,0,77.06418322515214,0.9396030644048281,0.019820664600503496
1,14,1,0,77.06418322515214,0.9375401470515308,0.019902537688053893
1,15,1,0,77.06418322515214,0.9354227009255758,0.019981263387888068
1,16,1,0,77.06418322515214,0.9332499129074563,0.02005803845433748
1,17,1,0,77.06418322515214,0.9310209810373495,0.020134227826769872
1,18,1,0,77.06418322515214,0.9287351155095162,0.0202113737704254
1,19,1,0,77.06418322515214,0.9263915396781608,0.020291203767701528
1,20,1,0,77.06418322515214,0.9239894910735735,0.020375636644252588
1,21,1,0,77.06418322515214,0.9215282224273286,0.020466786339887987
1,22,1,0,77.06418322515214,0.9190070027052657,0.0205669626726734
1,23,1,0,77.06418322515214,0.9164251181469378,0.020678668406792763
1,24,1,0,77.06418322515214,0.9137818733101611,0.020804591933691514
1,25,1,0,77.06418322515214,0.9110765921192653,0.020947594926027036
1,26,1,0,77.06418322515214,0.9083086189155977,0.02111069443865113
1,27,1,0,77.06418322515214,0.9054773195088005,0.021297039120714803
1,28,1,0,77.06418322515214,0.9025820822273407,0.021509879472079774
1,29,1,0,77.06418322515214,0.8996223189667407,0.021752532419755628
1,30,1,0,77.06418322515214,0.8965974662339257,0.02202834088761821
1,31,1,0,77.06418322515214,0.893506986186074,0.022340629452962738
1,32,1,0,77.06418322515214,0.8903503676623314,0.022692657582041437
1,33,1,0,77.06418322515214,0.8871271272067262,0.023087572261846153
1,34,1,0,77.06418322515214,0.8838368100806012,0.023528362045981847
1,35,1,0,77.06418322515214,0.8804789912628626,0.024017814568141477
1,36,1,0,77.06418322515214,0.8770532764363268,0.024558479427175248
1,37,1,0,77.06418322515214,0.8735593029584424,0.025152638019278403
1,38,1,0,77.06418322515214,0.8699967408146482,0.02580228141916329
1,39,1,0,77.06418322515214,0.8663652935526285,0.026509096849422285
1,40,1,0,77.06418322515214,0.8626646991957264,0.02727446269402252
1,41,1,0,77.06418322515214,0.8588947311337733,0.028099451475880284
1,42,1,0,77.06418322515214,0.8550551989896039,0.02898483978521909
1,43,1,0,77.06418322515214,0.8511459494595309,0.029931123849814466
1,44,1,0,77.06418322515214,0.8471668671260741,0.030938539291615864
1,45,1,0,77.06418322515214,0.8431178752412453,0.03200708360656677
1,46,1,0,77.06418322515214,0.8389989364787186,0.033136540010044874
1,47,1,0,77.06418322515214,0.8348100536532416,0.0343265014752732
1,48,1,0,77.06418322515214,0.8305512704056636,0.03557639402106025
1,49,1,0,77.06418322515214,0.8262226718519958,0.036885498547056625
1,50,1,0,77.06418322515214,0.8218243851949518,0.0382529707451842
1,51,1,0,77.06418322515214,0.8173565802964577,0.03967785881891281
1,52,1,0,77.06418322515214,0.8128194702096627,0.04115911890909616
1,53,1,0,77.06418322515214,0.8082133116690291,0.042695628253705105
1,54,1,0,77.06418322515214,0.8035384055371336,0.04428619620092134
1,55,1,0,77.06418322515214,0.7987950972068616,0.04592957325521054
1,56,1,0,77.06418322515214,0.7939837769577371,0.04762445836993175
1,57,1,0,77.06418322515214,0.7891048802651954,0.0493695047137231
1,58,1,0,77.06418322515214,0.7841588880616612,0.051163324136843644
1,59,1,0,77.06418322515214,0.7791463269483725,0.05300449055257509
1,60,1,0,77.06418322515214,0.774067769356955,0.05489154243150525
1,61,1,0,77.06418322515214,0.7689238336598317,0.05682298458594188
1,62,1,0,77.06418322515214,0.7637151842286215,0.05879728939995964
1,63,1,0,77.06418322515214,0.7584425314397687,0.060812897639116466
1,64,1,0,77.06418322515214,0.7531066316267205,0.06286821895362366
1,65,1,0,77.06418322515214,0.7477082869780618,0.06496163217024899
1,66,1,0,77.06418322515214,0.7422483453810926,0.06709148545173453
1,67,1,0,77.06418322515214,0.736727700210438,0.06925609638807245
1,68,1,0,77.06418322515214,0.7311472900613527,0.07145375207154349
1,69,1,0,77.06418322515214,0.7255080984274944,0.07368270919683355
1,70,1,0,77.06418322515214,0.7198111533230173,0.07594119421862797
1,71,1,0,77.06418322515214,0.7140575268489451,0.07822740359163789
1,72,1,0,77.06418322515214,0.7082483347038726,0.08053950411184617
1,73,1,0,77.06418322515214,0.7023847356391446,0.08287563337268342
1,74,1,0,77.06418322515214,0.6964679308587607,0.08523390034569123
1,75,1,0,77.06418322515214,0.6904991633643468,0.08761238609184763
1,76,1,0,77.06418322515214,0.6844797172456469,0.0900091446069893
1,77,1,0,77.06418322515214,0.6784109169170672,0.09242220380255463
1,78,1,0,77.06418322515214,0.6722941263009253,0.09484956662109294
1,79,1,0,77.06418322515214,0.6661307479581373,0.09728921228456304
1,80,1,0,77.06418322515214,0.6599222221671855,0.09973909767230661
1,81,1,0,77.06418322515214,0.653670025952299,0.10219715882467902
1,82,1,0,77.06418322515214,0.6473756720618781,0.10466131256760237
1,83,1,0,77.06418322515214,0.6410407078982878,0.10712945825273966
1,84,1,0,77.06418322515214,0.6346667144002363,0.10959947960754278
1,85,1,0,77.06418322515214,0.6282553048790445,0.11206924668907768
1,86,1,0,77.06418322515214,0.6218081238102078,0.11453661793525759
1,87,1,0,77.06418322515214,0.6153268455817266,0.11699944230690472
1,88,1,0,77.06418322515214,0.6088131732007767,0.11945556151390031
1,89,1,0,77.06418322515214,0.6022688369603653,0.12190281231856129
1,90,1,0,77.06418322515214,0.5956955930676976,0.12433902890929399
1,91,1,0,77.06418322515214,0.5890952222360586,0.1267620453375132
1,92,1,0,77.06418322515214,0.5824695282420785,0.1291696980107751
1,93,1,0,77.06418322515214,0.5758203364503277,0.13155982823505263
1,94,1,0,77.06418322515214,0.569149492307244,0.13393028479907573
1,95,1,0,77.06418322515214,0.5624588598064617,0.13627892659367008
0,0,0,1,77.06418322515214,0.3541825354721494,0.09865325146837957
0,1,0,1,77.06418322515214,0.3478780238622905,0.09662621195877213
0,2,0,1,77.06418322515214,0.3416152915841093,0.0946145025936617
0,3,0,1,77.06418322515214,0.33539586003138055,0.09262011995062358
0,4,0,1,77.06418322515214,0.32922121513310115,0.09064502716764138
0,5,0,1,77.06418322515214,0.3230928063198163,0.08869115031032716
0,6,0,1,77.06418322515214,0.3170120455394333,0.08676037460177156
0,7,0,1,77.06418322515214,0.31098030632357665,0.08485454050028787
0,8,0,1,77.06418322515214,0.3049989229054425,0.082975439610595
0,9,0,1,77.06418322515214,0.29906918939001464,0.08112481041483978
0,10,0,1,77.06418322515214,0.29319235897740653,0.07930433381141962
0,11,0,1,77.06418322515214,0.28736964323999603,0.07751562845196462
0,12,0,1,77.06418322515214,0.2816022114539211,0.07576024587022079
0,13,0,1,77.06418322515214,0.27589118998540346,0.0740396654010758
0,14,0,1,77.06418322515214,0.27023766173227326,0.0723552888937206
0,15,0,1,77.06418322515214,0.26464266562096356,0.07070843523004318
0,16,0,1,77.06418322515214,0.2591071961591481,0.06910033466787936
0,17,0,1,77.06418322515214,0.25363220304409867,0.06753212303871078
0,18,0,1,77.06418322515214,0.24821859082673772,0.06600483584075159
0,19,0,1,77.06418322515214,0.2428672186312715,0.0645194022809538
0,20,0,1,77.06418322515214,0.23757889993018957,0.06307663933303594
0,21,0,1,77.06418322515214,0.23235440237432675,0.06167724589282447
0,22,0,1,77.06418322515214,0.22719444767758842,0.060321797126481946
0,23,0,1,77.06418322515214,0.22209971155585703,0.059010739120939334
0,24,0,1,77.06418322515214,0.2170708237195016,0.057744383958285364
0,25,0,1,77.06418322515214,0.2121083679188344,0.056522905346128076
0,26,0,1,77.06418322515214,0.20721288204177127,0.05534633494310776
0,27,0,1,77.06418322515214,0.20238485826287353,0.054214559521879584
0,28,0,1,77.06418322515214,0.1976247432428725,0.053127319110137364
0,29,0,1,77.06418322515214,0.19293293837769993,0.052084206242904586
0,30,0,1,77.06418322515214,0.18830980009597975,0.0510846664458964
0,31,0,1,77.06418322515214,0.18375564020386495,0.05012800005008742
0,32,0,1,77.06418322515214,0.17927072627603874,0.04921336541191631
0,33,0,1,77.06418322515214,0.1748552820916371,0.04833978358243784
0,34,0,1,77.06418322515214,0.17050948811379116,0.0475061444332457
0,35,0,1,77.06418322515214,0.1662334820114324,0.04671121420855476
0,36,0,1,77.06418322515214,0.1620273592219515,0.04595364443318702
0,37,0,1,77.06418322515214,0.15789117355325458,0.04523198206727593
0,38,0,1,77.06418322515214,0.15382493782371587,0.044544680762265726
0,39,0,1,77.06418322515214,0.14982862453848356,0.04389011304111459
0,40,0,1,77.06418322515214,0.14590216660056252,0.04326658320013462
0,41,0,1,77.06418322515214,0.14204545805505983,0.04267234071186277
0,42,0,1,77.06418322515214,0.1382583548649537,0.04210559389852584
0,43,0,1,77.06418322515214,0.13454067571671788,0.04156452364428446
0,44,0,1,77.06418322515214,0.13089220285411482,0.04104729692124853
0,45,0,1,77.06418322515214,0.12731268293844933,0.0405520799185013
0,46,0,1,77.06418322515214,0.12380182793356466,0.04007705058392706
0,47,0,1,77.06418322515214,0.12035931601384811,0.03962041041410631
0,48,0,1,77.06418322515214,0.1169847924935096,0.03918039535637608
0,49,0,1,77.06418322515214,0.11367787077539195,0.03875528571778421
0,50,0,1,77.06418322515214,0.11043813331757234,0.03834341500660797
0,51,0,1,77.06418322515214,0.1072651326160183,0.037943177662052276
0,52,0,1,77.06418322515214,0.10415839220156824,0.037553035655608226
0,53,0,1,77.06418322515214,0.10111740764951858,0.037171523972528264
0,54,0,1,77.06418322515214,0.0981416476001112,0.03679725500341183
0,55,0,1,77.06418322515214,0.09523055478823354,0.03642892189370985
0,56,0,1,77.06418322515214,0.09238354708066282,0.03606530091298133
0,57,0,1,77.06418322515214,0.08960001851920896,0.03570525291609524
0,58,0,1,77.06418322515214,0.08687934036813583,0.03534772397552582
0,59,0,1,77.06418322515214,0.08422086216427038,0.034991745267803916
0,60,0,1,77.06418322515214,0.08162391276823729,0.03463643229847513
0,61,0,1,77.06418322515214,0.07908780141529337,0.0342809835490234
0,62,0,1,77.06418322515214,0.07661181876426898,0.03392467862658043
0,63,0,1,77.06418322515214,0.07419523794316243,0.033566875993272564
0,64,0,1,77.06418322515214,0.07183731558997389,0.033207010347131444
0,65,0,1,77.06418322515214,0.06953729288740515,0.032844589720941036
0,66,0,1,77.06418322515214,0.06729439659009712,0.03247919235949027
0,67,0,1,77.06418322515214,0.0651078400431204,0.03211046342967494
0,68,0,1,77.06418322515214,0.06297682419048144,0.03173811161192605
0,69,0,1,77.06418322515214,0.06090053857245487,0.03136190561567135
0,70,0,1,77.06418322515214,0.058878162310600696,0.03098167065606276
0,71,0,1,77.06418322515214,0.056908865079376245,0.030597284924091795
0,72,0,1,77.06418322515214,0.05499180806330282,0.030208676077509315
0,73,0,1,77.06418322515214,0.05312614489869908,0.02981581777568377
0,74,0,1,77.06418322515214,0.051311022599045755,0.02941872627767779
0,75,0,1,77.06418322515214,0.04954558246309826,0.029017457119385213
0,76,0,1,77.06418322515214,0.04782896096491821,0.02861210188253268
0,77,0,1,77.06418322515214,0.046160290625047076,0.02820278506568581
0,78,0,1,77.06418322515214,0.044538700862099524,0.027789661065081833
0,79,0,1,77.06418322515214,0.042963318824106714,0.027372911271109034
0,80,0,1,77.06418322515214,0.04143327019899422,0.026952741284535425
0,81,0,1,77.06418322515214,0.03994768000363076,0.026529378255127748
0,82,0,1,77.06418322515214,0.038505673350938324,0.026103068344065453
0,83,0,1,77.06418322515214,0.037106376194604905,0.025674074310516673
0,84,0,1,77.06418322515214,0.03574891605099365,0.025242673221880348
0,85,0,1,77.06418322515214,0.03443242269789274,0.024809154286485037
0,86,0,1,77.06418322515214,0.03315602884980037,0.024373816806952872
0,87,0,1,77.06418322515214,0.03191887080948847,0.0239369682519658
0,88,0,1,77.06418322515214,0.030720089095637188,0.023498922443795384
